perl-io-html 1.004-2
perl-libwww 6.56-1
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-path-tiny 0.118-2
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-libxml 2.0207-2
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-7
pinentry 1.1.1-1
pipewire 1:0.3.34-1
pipewire-media-session 1:0.3.34-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgfile 21-2
plymouth 0.9.5.r84.ge554475-1
plymouth-theme-manjaro 2.1-2
polkit 0.119-1
polkit-gnome 0.105-8
polkit-qt5 0.114.0-1
poppler 21.09.0-1
poppler-glib 21.09.0-1
popt 1.18-1
portaudio 1:19.7.0-1
powertop 2.14-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
protobuf 3.17.3-1
psmisc 23.4-1
pugixml 1.11.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulseaudio-ctl 1.70-1
pulseaudio-equalizer 15.0-1
pulseaudio-jack 15.0-1
pulseaudio-lirc 15.0-1
pulseaudio-rtp 15.0-1
pulseaudio-zeroconf 15.0-1
python 3.9.6-1
python-appdirs 1.4.4-3
python-attrs 21.2.0-1
python-bcrypt 3.2.0-3
python-beautifulsoup4 4.9.3-4
python-cachetools 4.2.2-1
python-cairo 1.20.1-1
python-certifi 2020.12.5-1
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-configobj 5.0.6.r110.g3e2f4cc-1
python-cryptography 3.4.8-1
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-ewmh 0.1.6-3
python-fasteners 0.16-1
python-filelock 3.0.12-5
python-future 0.18.2-5
python-gobject 3.40.1-1
python-google-api-core 2.0.0-1
python-google-api-python-client 2.18.0-1
python-google-auth 1.32.1-1
python-google-auth-httplib2 0.1.0-1
python-googleapis-common-protos 1.53.0-1
python-httplib2 0.19.1-1
python-idna 3.2-1
python-markdown 3.3.4-1
python-more-itertools 8.8.0-1
python-nautilus 1.2.3-5
python-npyscreen 4.10.5-5
python-oauth2client 4.1.3-6
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-pillow 8.3.1-1
python-ply 3.11-7
python-protobuf 3.17.3-1
python-psutil 5.8.0-1
python-pulsectl 21.5.18-1
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-4
python-pycparser 2.20-3
python-pydrive 1.3.1-4
python-pynacl 1.4.0-3
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.9.0-1
python-pysmbc 1.0.23-2
python-pytz 2021.1-1
python-pyxdg 0.27-1
python-reportlab 3.5.68-2
python-requests 2.26.0-1
python-requests-file 1.5.1-3
python-rsa 4.7.2-1
python-setproctitle 1.2.2-1
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-soupsieve 2.2.1-1
python-tldextract 3.1.2-1
python-ueberzug 18.1.5-3
python-uritemplate 3.0.1-3
python-urllib3 1.26.6-1
python-xlib 0.31-1
python-yaml 5.4.1.1-2
qgnomeplatform 0.8.0-1
qpdf 10.3.2-1
qt5-base 5.15.2+kde+r215-1
qt5-declarative 5.15.2+kde+r30-1
qt5-svg 5.15.2+kde+r7-1
qt5-wayland 5.15.2+kde+r29-1
qt5-x11extras 5.15.2-1
qt5ct 1.3-1
ranger 1.9.3.143.g5047d9e5-1
raptor 2.0.15-16
rav1e 0.4.1-1
readline 8.1.001-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rpcbind 1.2.6-1
rsync 3.2.3-4
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
run-parts 5.4-1
rygel 1:0.40.1-1
s-nail 14.9.22-1
sane 1.0.32-3
sbc 1.5-2
sdl2 2.0.16-2
seahorse 1:40.0-1
sed 4.8-1
serd 0.30.10-1
shadow 4.8.1-4
shared-color-targets 0.1.7-3
shared-mime-info 2.0+57+gc1d1c70-1
simple-scan 40.1-1
slang 2.3.2-2
smbclient 4.14.7-1
snapd 2.51.3-2
snapd-glib 1.54-1
sof-firmware 1.8-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
spandsp 0.0.6-3
spectre-meltdown-checker 0.44-1
speex 1.2.0-3
speexdsp 1.2.0-2
splix 2.0.0-15
sqlite 3.36.0-1
squashfs-tools 4.5-1
sratom 0.6.8-1
srt 1.4.3-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.7.p2-1
sushi 3.38.1-1
svt-av1 0.8.7-1
svt-hevc 1.5.1-1
